Info positions : [3 5 6 7]
Target Info positions : [3 5 6 7]
Frozen positions : [0 1 2 4]
Code : polar 
Rate Profile : polar
Batch size : 8192
Validation SNR : 3.0
Number of heads : 1
Number of layers: 2
Positional encoding : static
Layers : compelete
Print frequency: 100
Num of steps: 100000
8
Training Model for 4,8 anew
Number of parameters : 1781
Did not find standard validation data
Need to save for: 5000
[0/100000] At 3 dB, Loss: 1.4184008, Train BER (3 dB) : 0.5200806, Valid BER: 0.5095215, Tgt BER: 0.5095215, Noiseless BER 0.5000000, Valid BLER : 0.9974365
[3000/100000] At 3 dB, Loss: 0.3315603, Train BER (3 dB) : 0.1098328, Valid BER: 0.0995789, Tgt BER: 0.0995789, Noiseless BER 0.0000000, Valid BLER : 0.2510986
[3100/100000] At 3 dB, Loss: 0.3442739, Train BER (3 dB) : 0.1161499, Valid BER: 0.0992737, Tgt BER: 0.0992737, Noiseless BER 0.0000000, Valid BLER : 0.2469482
[3200/100000] At 3 dB, Loss: 0.3326402, Train BER (3 dB) : 0.1113281, Valid BER: 0.0982971, Tgt BER: 0.0982971, Noiseless BER 0.0000000, Valid BLER : 0.2415771
[3300/100000] At 3 dB, Loss: 0.3290372, Train BER (3 dB) : 0.1108704, Valid BER: 0.0954285, Tgt BER: 0.0954285, Noiseless BER 0.0000000, Valid BLER : 0.2401123
[3400/100000] At 3 dB, Loss: 0.3376619, Train BER (3 dB) : 0.1130371, Valid BER: 0.0958252, Tgt BER: 0.0958252, Noiseless BER 0.0000000, Valid BLER : 0.2447510
[3500/100000] At 3 dB, Loss: 0.3323769, Train BER (3 dB) : 0.1107178, Valid BER: 0.1021423, Tgt BER: 0.1021423, Noiseless BER 0.0000000, Valid BLER : 0.2467041
[3600/100000] At 3 dB, Loss: 0.3361981, Train BER (3 dB) : 0.1123962, Valid BER: 0.0987549, Tgt BER: 0.0987549, Noiseless BER 0.0000000, Valid BLER : 0.2426758
[3700/100000] At 3 dB, Loss: 0.3411434, Train BER (3 dB) : 0.1148071, Valid BER: 0.0975952, Tgt BER: 0.0975952, Noiseless BER 0.0000000, Valid BLER : 0.2436523
[3800/100000] At 3 dB, Loss: 0.3420013, Train BER (3 dB) : 0.1148987, Valid BER: 0.0941772, Tgt BER: 0.0941772, Noiseless BER 0.0000000, Valid BLER : 0.2352295
[3900/100000] At 3 dB, Loss: 0.3389541, Train BER (3 dB) : 0.1146240, Valid BER: 0.0973511, Tgt BER: 0.0973511, Noiseless BER 0.0000000, Valid BLER : 0.2440186
