Info positions : [ 7  9 10 11 12 13 14 15]
Target Info positions : [ 7  9 10 11 12 13 14 15]
Frozen positions : [0 1 2 3 4 5 6 8]
embed dim : 64 
Batch size : 8192
Validation SNR : 3.0
Train SNR : 10.0
load training data? True
Number of heads : 1
Number of layers: 3
Positional encoding : static
Print frequency: 100
Num of steps: 200000
combinational training snr:  False
64
Training Model for 8,16 anew
Number of parameters : 150471
Did not find standard validation data
Need to save for: 1000
tensor([[-1., -1., -1., -1., -1., -1., -1., -1.]], device='cuda:0')
tensor([[ 1.,  1., -1., -1., -1., -1., -1.,  1.]], device='cuda:0')
[0/200000] At 3 dB, Loss: 1.1041287, Train BER (10 dB) : 0.5189209, Valid BER: 0.4546814, Tgt BER: 0.4546814, Noiseless BER 0.4462738, Valid BLER : 0.9486084
[2900/200000] At 3 dB, Loss: 0.0113485, Train BER (10 dB) : 0.0028076, Valid BER: 0.1761169, Tgt BER: 0.1761169, Noiseless BER 0.0000000, Valid BLER : 0.4841309
[3000/200000] At 3 dB, Loss: 0.0093476, Train BER (10 dB) : 0.0022736, Valid BER: 0.1730347, Tgt BER: 0.1730347, Noiseless BER 0.0000000, Valid BLER : 0.4797363
[3100/200000] At 3 dB, Loss: 0.0107792, Train BER (10 dB) : 0.0026550, Valid BER: 0.1703491, Tgt BER: 0.1703491, Noiseless BER 0.0000000, Valid BLER : 0.4753418
[3200/200000] At 3 dB, Loss: 0.0112147, Train BER (10 dB) : 0.0027924, Valid BER: 0.1714783, Tgt BER: 0.1714783, Noiseless BER 0.0000000, Valid BLER : 0.4790039
[3300/200000] At 3 dB, Loss: 0.0069782, Train BER (10 dB) : 0.0016785, Valid BER: 0.1776276, Tgt BER: 0.1776276, Noiseless BER 0.0000000, Valid BLER : 0.4904785
[3400/200000] At 3 dB, Loss: 0.0098754, Train BER (10 dB) : 0.0023956, Valid BER: 0.1745911, Tgt BER: 0.1745911, Noiseless BER 0.0000000, Valid BLER : 0.4774170
[3500/200000] At 3 dB, Loss: 0.0086492, Train BER (10 dB) : 0.0020752, Valid BER: 0.1793213, Tgt BER: 0.1793213, Noiseless BER 0.0000000, Valid BLER : 0.4862061
[3600/200000] At 3 dB, Loss: 0.0109286, Train BER (10 dB) : 0.0026703, Valid BER: 0.1719818, Tgt BER: 0.1719818, Noiseless BER 0.0000000, Valid BLER : 0.4782715
[3700/200000] At 3 dB, Loss: 0.0100004, Train BER (10 dB) : 0.0024261, Valid BER: 0.1733856, Tgt BER: 0.1733856, Noiseless BER 0.0000000, Valid BLER : 0.4769287
[3800/200000] At 3 dB, Loss: 0.0095306, Train BER (10 dB) : 0.0023041, Valid BER: 0.1775818, Tgt BER: 0.1775818, Noiseless BER 0.0000000, Valid BLER : 0.4866943
[3900/200000] At 3 dB, Loss: 0.0098378, Train BER (10 dB) : 0.0024261, Valid BER: 0.1834412, Tgt BER: 0.1834412, Noiseless BER 0.0000000, Valid BLER : 0.4952393
[4000/200000] At 3 dB, Loss: 0.0091336, Train BER (10 dB) : 0.0022430, Valid BER: 0.1725006, Tgt BER: 0.1725006, Noiseless BER 0.0000000, Valid BLER : 0.4774170
[4100/200000] At 3 dB, Loss: 0.0081757, Train BER (10 dB) : 0.0020447, Valid BER: 0.1770325, Tgt BER: 0.1770325, Noiseless BER 0.0000000, Valid BLER : 0.4879150
[4200/200000] At 3 dB, Loss: 0.0073245, Train BER (10 dB) : 0.0017548, Valid BER: 0.1749115, Tgt BER: 0.1749115, Noiseless BER 0.0000000, Valid BLER : 0.4815674
[4300/200000] At 3 dB, Loss: 0.0097785, Train BER (10 dB) : 0.0024414, Valid BER: 0.1727753, Tgt BER: 0.1727753, Noiseless BER 0.0000000, Valid BLER : 0.4813232
[4400/200000] At 3 dB, Loss: 0.0079976, Train BER (10 dB) : 0.0019226, Valid BER: 0.1818542, Tgt BER: 0.1818542, Noiseless BER 0.0000000, Valid BLER : 0.4931641
[4500/200000] At 3 dB, Loss: 0.0106730, Train BER (10 dB) : 0.0026398, Valid BER: 0.1703339, Tgt BER: 0.1703339, Noiseless BER 0.0000000, Valid BLER : 0.4755859
[4600/200000] At 3 dB, Loss: 0.0093582, Train BER (10 dB) : 0.0023193, Valid BER: 0.1744080, Tgt BER: 0.1744080, Noiseless BER 0.0000000, Valid BLER : 0.4801025
[4700/200000] At 3 dB, Loss: 0.0075182, Train BER (10 dB) : 0.0018158, Valid BER: 0.1761322, Tgt BER: 0.1761322, Noiseless BER 0.0000000, Valid BLER : 0.4857178
[4800/200000] At 3 dB, Loss: 0.0088302, Train BER (10 dB) : 0.0021973, Valid BER: 0.1773071, Tgt BER: 0.1773071, Noiseless BER 0.0000000, Valid BLER : 0.4840088
[4900/200000] At 3 dB, Loss: 0.0113323, Train BER (10 dB) : 0.0027771, Valid BER: 0.1795349, Tgt BER: 0.1795349, Noiseless BER 0.0000000, Valid BLER : 0.4818115
[5000/200000] At 3 dB, Loss: 0.0095888, Train BER (10 dB) : 0.0023041, Valid BER: 0.1742096, Tgt BER: 0.1742096, Noiseless BER 0.0000000, Valid BLER : 0.4832764
[5100/200000] At 3 dB, Loss: 0.0071765, Train BER (10 dB) : 0.0017242, Valid BER: 0.1743774, Tgt BER: 0.1743774, Noiseless BER 0.0000000, Valid BLER : 0.4846191
[5200/200000] At 3 dB, Loss: 0.0070746, Train BER (10 dB) : 0.0016937, Valid BER: 0.1791077, Tgt BER: 0.1791077, Noiseless BER 0.0000000, Valid BLER : 0.4913330
[5300/200000] At 3 dB, Loss: 0.0082773, Train BER (10 dB) : 0.0020294, Valid BER: 0.1777649, Tgt BER: 0.1777649, Noiseless BER 0.0000000, Valid BLER : 0.4790039
[5400/200000] At 3 dB, Loss: 0.0071123, Train BER (10 dB) : 0.0017242, Valid BER: 0.1781006, Tgt BER: 0.1781006, Noiseless BER 0.0000000, Valid BLER : 0.4858398
[5500/200000] At 3 dB, Loss: 0.0079213, Train BER (10 dB) : 0.0019073, Valid BER: 0.1824341, Tgt BER: 0.1824341, Noiseless BER 0.0000000, Valid BLER : 0.4893799
[5600/200000] At 3 dB, Loss: 0.0076495, Train BER (10 dB) : 0.0018768, Valid BER: 0.1703796, Tgt BER: 0.1703796, Noiseless BER 0.0000000, Valid BLER : 0.4711914
[5700/200000] At 3 dB, Loss: 0.0108352, Train BER (10 dB) : 0.0026398, Valid BER: 0.1748352, Tgt BER: 0.1748352, Noiseless BER 0.0000000, Valid BLER : 0.4747314
[5800/200000] At 3 dB, Loss: 0.0072590, Train BER (10 dB) : 0.0017700, Valid BER: 0.1753235, Tgt BER: 0.1753235, Noiseless BER 0.0000000, Valid BLER : 0.4776611
[5900/200000] At 3 dB, Loss: 0.0090043, Train BER (10 dB) : 0.0021973, Valid BER: 0.1743164, Tgt BER: 0.1743164, Noiseless BER 0.0000000, Valid BLER : 0.4853516
[6000/200000] At 3 dB, Loss: 0.0100769, Train BER (10 dB) : 0.0024872, Valid BER: 0.1771698, Tgt BER: 0.1771698, Noiseless BER 0.0000000, Valid BLER : 0.4797363
[6100/200000] At 3 dB, Loss: 0.0107378, Train BER (10 dB) : 0.0026550, Valid BER: 0.1742096, Tgt BER: 0.1742096, Noiseless BER 0.0000000, Valid BLER : 0.4815674
[6200/200000] At 3 dB, Loss: 0.0093199, Train BER (10 dB) : 0.0023193, Valid BER: 0.1792450, Tgt BER: 0.1792450, Noiseless BER 0.0000000, Valid BLER : 0.4862061
[6300/200000] At 3 dB, Loss: 0.0109284, Train BER (10 dB) : 0.0027008, Valid BER: 0.1800079, Tgt BER: 0.1800079, Noiseless BER 0.0000000, Valid BLER : 0.4927979
[6400/200000] At 3 dB, Loss: 0.0082467, Train BER (10 dB) : 0.0020294, Valid BER: 0.1727448, Tgt BER: 0.1727448, Noiseless BER 0.0000000, Valid BLER : 0.4826660
[6500/200000] At 3 dB, Loss: 0.0061856, Train BER (10 dB) : 0.0015259, Valid BER: 0.1728363, Tgt BER: 0.1728363, Noiseless BER 0.0000000, Valid BLER : 0.4759521
[6600/200000] At 3 dB, Loss: 0.0089358, Train BER (10 dB) : 0.0021820, Valid BER: 0.1728363, Tgt BER: 0.1728363, Noiseless BER 0.0000000, Valid BLER : 0.4846191
[6700/200000] At 3 dB, Loss: 0.0111944, Train BER (10 dB) : 0.0027924, Valid BER: 0.1763000, Tgt BER: 0.1763000, Noiseless BER 0.0000000, Valid BLER : 0.4825439
