Info positions : [ 7  9 10 11 12 13 14 15]
Target Info positions : [ 7  9 10 11 12 13 14 15]
Frozen positions : [0 1 2 3 4 5 6 8]
embed dim : 64 
Batch size : 8192
Validation SNR : -2.0
Train SNR : -2.0
load training data? True
Number of heads : 3
Number of layers: 3
Positional encoding : static
Print frequency: 100
Num of steps: 100000
combinational training snr:  False
64
Training Model for 8,16 anew
Number of parameters : 149703
Did not find standard validation data
Need to save for: 1000
tensor([[-1., -1., -1., -1., -1., -1., -1., -1.]], device='cuda:0')
tensor([[ 1.,  1., -1., -1., -1., -1., -1.,  1.]], device='cuda:0')
[0/100000] At -2 dB, Loss: 1.1839186, Train BER (-2 dB) : 0.5213318, Valid BER: 0.4733734, Tgt BER: 0.4733734, Noiseless BER 0.4523621, Valid BLER : 0.9815674
[2900/100000] At -2 dB, Loss: 0.7996202, Train BER (-2 dB) : 0.3348541, Valid BER: 0.3285217, Tgt BER: 0.3285217, Noiseless BER 0.0000000, Valid BLER : 0.8820801
[3000/100000] At -2 dB, Loss: 0.7980930, Train BER (-2 dB) : 0.3309021, Valid BER: 0.3230438, Tgt BER: 0.3230438, Noiseless BER 0.0005493, Valid BLER : 0.8798828
[3100/100000] At -2 dB, Loss: 0.8006088, Train BER (-2 dB) : 0.3321381, Valid BER: 0.3248901, Tgt BER: 0.3248901, Noiseless BER 0.0000000, Valid BLER : 0.8760986
[3200/100000] At -2 dB, Loss: 0.7903741, Train BER (-2 dB) : 0.3300323, Valid BER: 0.3236389, Tgt BER: 0.3236389, Noiseless BER 0.0004272, Valid BLER : 0.8771973
[3300/100000] At -2 dB, Loss: 0.7951955, Train BER (-2 dB) : 0.3305206, Valid BER: 0.3229370, Tgt BER: 0.3229370, Noiseless BER 0.0000000, Valid BLER : 0.8750000
[3400/100000] At -2 dB, Loss: 0.7870128, Train BER (-2 dB) : 0.3258057, Valid BER: 0.3253479, Tgt BER: 0.3253479, Noiseless BER 0.0000000, Valid BLER : 0.8822021
[3500/100000] At -2 dB, Loss: 0.7907252, Train BER (-2 dB) : 0.3283539, Valid BER: 0.3209991, Tgt BER: 0.3209991, Noiseless BER 0.0000000, Valid BLER : 0.8720703
[3600/100000] At -2 dB, Loss: 0.7893370, Train BER (-2 dB) : 0.3265381, Valid BER: 0.3237610, Tgt BER: 0.3237610, Noiseless BER 0.0000000, Valid BLER : 0.8784180
[3700/100000] At -2 dB, Loss: 0.7917167, Train BER (-2 dB) : 0.3291321, Valid BER: 0.3249512, Tgt BER: 0.3249512, Noiseless BER 0.0000000, Valid BLER : 0.8741455
[3800/100000] At -2 dB, Loss: 0.7874011, Train BER (-2 dB) : 0.3256073, Valid BER: 0.3196869, Tgt BER: 0.3196869, Noiseless BER 0.0000000, Valid BLER : 0.8746338
[3900/100000] At -2 dB, Loss: 0.7879887, Train BER (-2 dB) : 0.3254700, Valid BER: 0.3247375, Tgt BER: 0.3247375, Noiseless BER 0.0000000, Valid BLER : 0.8719482
[4000/100000] At -2 dB, Loss: 0.7844563, Train BER (-2 dB) : 0.3251343, Valid BER: 0.3206787, Tgt BER: 0.3206787, Noiseless BER 0.0000000, Valid BLER : 0.8719482
[4100/100000] At -2 dB, Loss: 0.7850424, Train BER (-2 dB) : 0.3256226, Valid BER: 0.3166351, Tgt BER: 0.3166351, Noiseless BER 0.0000000, Valid BLER : 0.8677979
[4200/100000] At -2 dB, Loss: 0.7834425, Train BER (-2 dB) : 0.3265686, Valid BER: 0.3198242, Tgt BER: 0.3198242, Noiseless BER 0.0000000, Valid BLER : 0.8666992
[4300/100000] At -2 dB, Loss: 0.7904586, Train BER (-2 dB) : 0.3283081, Valid BER: 0.3215942, Tgt BER: 0.3215942, Noiseless BER 0.0000000, Valid BLER : 0.8709717
[4400/100000] At -2 dB, Loss: 0.7880173, Train BER (-2 dB) : 0.3268280, Valid BER: 0.3219910, Tgt BER: 0.3219910, Noiseless BER 0.0000000, Valid BLER : 0.8673096
[4500/100000] At -2 dB, Loss: 0.7848226, Train BER (-2 dB) : 0.3267822, Valid BER: 0.3236847, Tgt BER: 0.3236847, Noiseless BER 0.0000000, Valid BLER : 0.8763428
[4600/100000] At -2 dB, Loss: 0.7827457, Train BER (-2 dB) : 0.3251190, Valid BER: 0.3215332, Tgt BER: 0.3215332, Noiseless BER 0.0000000, Valid BLER : 0.8653564
[4700/100000] At -2 dB, Loss: 0.7898821, Train BER (-2 dB) : 0.3271484, Valid BER: 0.3230896, Tgt BER: 0.3230896, Noiseless BER 0.0000000, Valid BLER : 0.8710938
[4800/100000] At -2 dB, Loss: 0.7828518, Train BER (-2 dB) : 0.3249664, Valid BER: 0.3206787, Tgt BER: 0.3206787, Noiseless BER 0.0000000, Valid BLER : 0.8681641
[4900/100000] At -2 dB, Loss: 0.7853543, Train BER (-2 dB) : 0.3261108, Valid BER: 0.3184204, Tgt BER: 0.3184204, Noiseless BER 0.0000000, Valid BLER : 0.8671875
[5000/100000] At -2 dB, Loss: 0.7891846, Train BER (-2 dB) : 0.3266602, Valid BER: 0.3175964, Tgt BER: 0.3175964, Noiseless BER 0.0000000, Valid BLER : 0.8620605
[5100/100000] At -2 dB, Loss: 0.7805262, Train BER (-2 dB) : 0.3221130, Valid BER: 0.3180389, Tgt BER: 0.3180389, Noiseless BER 0.0000000, Valid BLER : 0.8624268
[5200/100000] At -2 dB, Loss: 0.7893133, Train BER (-2 dB) : 0.3257294, Valid BER: 0.3181763, Tgt BER: 0.3181763, Noiseless BER 0.0000000, Valid BLER : 0.8657227
[5300/100000] At -2 dB, Loss: 0.7878642, Train BER (-2 dB) : 0.3271484, Valid BER: 0.3224182, Tgt BER: 0.3224182, Noiseless BER 0.0000000, Valid BLER : 0.8648682
[5400/100000] At -2 dB, Loss: 0.7853028, Train BER (-2 dB) : 0.3244171, Valid BER: 0.3212585, Tgt BER: 0.3212585, Noiseless BER 0.0000000, Valid BLER : 0.8662109
[5500/100000] At -2 dB, Loss: 0.7844636, Train BER (-2 dB) : 0.3247375, Valid BER: 0.3180847, Tgt BER: 0.3180847, Noiseless BER 0.0000000, Valid BLER : 0.8645020
[5600/100000] At -2 dB, Loss: 0.7830507, Train BER (-2 dB) : 0.3219604, Valid BER: 0.3170471, Tgt BER: 0.3170471, Noiseless BER 0.0000000, Valid BLER : 0.8551025
[5700/100000] At -2 dB, Loss: 0.7714388, Train BER (-2 dB) : 0.3162384, Valid BER: 0.3174591, Tgt BER: 0.3174591, Noiseless BER 0.0000000, Valid BLER : 0.8673096
[5800/100000] At -2 dB, Loss: 0.7809461, Train BER (-2 dB) : 0.3219299, Valid BER: 0.3209229, Tgt BER: 0.3209229, Noiseless BER 0.0000000, Valid BLER : 0.8646240
[5900/100000] At -2 dB, Loss: 0.7926491, Train BER (-2 dB) : 0.3277740, Valid BER: 0.3147888, Tgt BER: 0.3147888, Noiseless BER 0.0000000, Valid BLER : 0.8580322
[6000/100000] At -2 dB, Loss: 0.7780342, Train BER (-2 dB) : 0.3198242, Valid BER: 0.3190002, Tgt BER: 0.3190002, Noiseless BER 0.0000000, Valid BLER : 0.8666992
[6100/100000] At -2 dB, Loss: 0.7855972, Train BER (-2 dB) : 0.3249207, Valid BER: 0.3201599, Tgt BER: 0.3201599, Noiseless BER 0.0000000, Valid BLER : 0.8656006
[6200/100000] At -2 dB, Loss: 0.7825804, Train BER (-2 dB) : 0.3233948, Valid BER: 0.3143768, Tgt BER: 0.3143768, Noiseless BER 0.0000000, Valid BLER : 0.8594971
[6300/100000] At -2 dB, Loss: 0.7803654, Train BER (-2 dB) : 0.3235168, Valid BER: 0.3182068, Tgt BER: 0.3182068, Noiseless BER 0.0000000, Valid BLER : 0.8575439
[6400/100000] At -2 dB, Loss: 0.7816780, Train BER (-2 dB) : 0.3237305, Valid BER: 0.3209686, Tgt BER: 0.3209686, Noiseless BER 0.0000000, Valid BLER : 0.8685303
[6500/100000] At -2 dB, Loss: 0.7809574, Train BER (-2 dB) : 0.3231049, Valid BER: 0.3147583, Tgt BER: 0.3147583, Noiseless BER 0.0000000, Valid BLER : 0.8581543
[6600/100000] At -2 dB, Loss: 0.7706879, Train BER (-2 dB) : 0.3171539, Valid BER: 0.3121338, Tgt BER: 0.3121338, Noiseless BER 0.0000000, Valid BLER : 0.8553467
[6700/100000] At -2 dB, Loss: 0.7778010, Train BER (-2 dB) : 0.3200378, Valid BER: 0.3169708, Tgt BER: 0.3169708, Noiseless BER 0.0000000, Valid BLER : 0.8602295
[6800/100000] At -2 dB, Loss: 0.7778177, Train BER (-2 dB) : 0.3198547, Valid BER: 0.3155975, Tgt BER: 0.3155975, Noiseless BER 0.0000000, Valid BLER : 0.8566895
[6900/100000] At -2 dB, Loss: 0.7850873, Train BER (-2 dB) : 0.3232422, Valid BER: 0.3134003, Tgt BER: 0.3134003, Noiseless BER 0.0000000, Valid BLER : 0.8532715
[7000/100000] At -2 dB, Loss: 0.7828271, Train BER (-2 dB) : 0.3214111, Valid BER: 0.3146667, Tgt BER: 0.3146667, Noiseless BER 0.0000000, Valid BLER : 0.8569336
[7100/100000] At -2 dB, Loss: 0.7740464, Train BER (-2 dB) : 0.3174133, Valid BER: 0.3167877, Tgt BER: 0.3167877, Noiseless BER 0.0000000, Valid BLER : 0.8607178
[7200/100000] At -2 dB, Loss: 0.7787343, Train BER (-2 dB) : 0.3217773, Valid BER: 0.3172150, Tgt BER: 0.3172150, Noiseless BER 0.0000000, Valid BLER : 0.8577881
[7300/100000] At -2 dB, Loss: 0.7744349, Train BER (-2 dB) : 0.3201599, Valid BER: 0.3148804, Tgt BER: 0.3148804, Noiseless BER 0.0000000, Valid BLER : 0.8521729
[7400/100000] At -2 dB, Loss: 0.7732438, Train BER (-2 dB) : 0.3181763, Valid BER: 0.3132782, Tgt BER: 0.3132782, Noiseless BER 0.0000000, Valid BLER : 0.8496094
[7500/100000] At -2 dB, Loss: 0.7717925, Train BER (-2 dB) : 0.3166351, Valid BER: 0.3172607, Tgt BER: 0.3172607, Noiseless BER 0.0000000, Valid BLER : 0.8552246
[7600/100000] At -2 dB, Loss: 0.7713654, Train BER (-2 dB) : 0.3168030, Valid BER: 0.3112793, Tgt BER: 0.3112793, Noiseless BER 0.0000000, Valid BLER : 0.8542480
[7700/100000] At -2 dB, Loss: 0.7734741, Train BER (-2 dB) : 0.3177185, Valid BER: 0.3094025, Tgt BER: 0.3094025, Noiseless BER 0.0000000, Valid BLER : 0.8492432
[7800/100000] At -2 dB, Loss: 0.7745281, Train BER (-2 dB) : 0.3185272, Valid BER: 0.3119049, Tgt BER: 0.3119049, Noiseless BER 0.0000000, Valid BLER : 0.8529053
[7900/100000] At -2 dB, Loss: 0.7727119, Train BER (-2 dB) : 0.3158417, Valid BER: 0.3122864, Tgt BER: 0.3122864, Noiseless BER 0.0000000, Valid BLER : 0.8508301
[8000/100000] At -2 dB, Loss: 0.7807271, Train BER (-2 dB) : 0.3193665, Valid BER: 0.3115234, Tgt BER: 0.3115234, Noiseless BER 0.0000000, Valid BLER : 0.8441162
[8100/100000] At -2 dB, Loss: 0.7732309, Train BER (-2 dB) : 0.3184662, Valid BER: 0.3109589, Tgt BER: 0.3109589, Noiseless BER 0.0000000, Valid BLER : 0.8472900
[8200/100000] At -2 dB, Loss: 0.7684827, Train BER (-2 dB) : 0.3122101, Valid BER: 0.3144531, Tgt BER: 0.3144531, Noiseless BER 0.0000000, Valid BLER : 0.8482666
[8300/100000] At -2 dB, Loss: 0.7737629, Train BER (-2 dB) : 0.3173523, Valid BER: 0.3117828, Tgt BER: 0.3117828, Noiseless BER 0.0000000, Valid BLER : 0.8435059
[8400/100000] At -2 dB, Loss: 0.7738943, Train BER (-2 dB) : 0.3168640, Valid BER: 0.3130188, Tgt BER: 0.3130188, Noiseless BER 0.0000000, Valid BLER : 0.8503418
[8500/100000] At -2 dB, Loss: 0.7748252, Train BER (-2 dB) : 0.3160553, Valid BER: 0.3107147, Tgt BER: 0.3107147, Noiseless BER 0.0000000, Valid BLER : 0.8453369
[8600/100000] At -2 dB, Loss: 0.7716970, Train BER (-2 dB) : 0.3151398, Valid BER: 0.3121490, Tgt BER: 0.3121490, Noiseless BER 0.0000000, Valid BLER : 0.8453369
[8700/100000] At -2 dB, Loss: 0.7698588, Train BER (-2 dB) : 0.3131104, Valid BER: 0.3051147, Tgt BER: 0.3051147, Noiseless BER 0.0000000, Valid BLER : 0.8272705
