Example,Original_Message,Decoded_Bits,Polar_code,Binary_Corrupted_codeword,Corrupted_codeword,Output
0,"[1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1]",,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]","[0.79192, -1.85649, -0.56811, -1.79045, -1.47267, -2.43152, -1.29343, 0.63173, -0.67322, 0.29564, 1.38161, 1.50757, 0.08975, 0.54787, 0.82638, -0.43393]","[-1.04843, -1.04974, -1.05041, -1.0519, -1.05029, -1.05017, -1.04972, -1.04997]"
1,"[1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 0]",,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0]","[-0.73465, 2.74154, 0.86556, -0.07263, 2.55301, 2.25976, 1.10333, 0.58091, 1.02867, -1.22009, -1.12176, -0.01985, -0.53849, -1.08644, -0.20598, 0.6319]","[-1.03698, -1.03408, -1.05318, -1.04666, -1.03537, -1.05717, -1.05504, 1.05417]"
2,"[1, 1, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 1, 0, 1]",,"[1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1]","[-1.48312, -0.38287, 1.30141, -0.17317, 2.26996, -0.886, 0.96508, 0.55183, 0.34854, 0.75115, -0.62458, 1.82311, -1.94244, 1.01665, 0.20228, -0.4834]","[-1.0476, -1.05695, -1.04724, -1.05341, -1.05264, -1.05843, 1.03682, -1.04904]"
3,"[1, 1, 1, 1, 1, 0, 1, 1]","[1, 1, 0, 0, 1, 0, 0, 0]",,"[1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1]","[-1.53776, 0.77893, -1.27969, -0.76461, 0.61944, -0.55603, -0.09186, -0.22382, 0.42884, -0.07198, 1.33775, 0.76727, -1.98561, 0.06013, 0.6912, -0.96482]","[-1.04728, -1.05067, 1.07145, 1.07165, -1.0525, 1.06777, 1.07347, 1.07693]"
4,"[1, 1, 1, 1, 1, 0, 1, 0]","[1, 1, 1, 1, 1, 0, 1, 0]",,"[0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0]","[1.22344, -1.19419, 1.79049, 1.24648, -1.25655, -1.18288, 1.61399, -1.8394, -0.70328, 1.51482, -0.499, -0.58757, 0.98365, 0.73548, -0.60028, 0.48932]","[-1.05197, -1.05237, -1.05289, -1.05361, -1.04962, 1.05176, -1.05313, 1.0514]"
5,"[1, 1, 1, 1, 1, 0, 0, 1]","[1, 1, 1, 1, 1, 0, 0, 1]",,"[0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1]","[1.83273, 0.79379, -0.37472, 0.07163, -0.92387, 2.49094, 0.75086, 1.59365, -2.05883, -0.55778, -1.45893, 1.93163, 0.43828, -0.3467, 0.33199, -1.3646]","[-1.04779, -0.29095, -1.04296, -0.56049, -1.04787, 1.05173, 1.04948, -1.02708]"
6,"[1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0]",,"[1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0]","[-1.19248, -0.71695, -1.29552, 1.63869, 2.12954, -1.21465, -0.30412, -0.21956, 0.34792, 1.98858, 0.88651, -2.91501, -1.01879, 2.41325, 1.90099, 0.84937]","[-1.05098, -1.0505, -1.05173, -1.05134, -1.05238, 1.0532, 1.05384, 1.05332]"
7,"[1, 1, 1, 1, 0, 1, 1, 1]","[1, 1, 1, 1, 0, 1, 1, 1]",,"[1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1]","[-1.45545, -1.39221, -0.77764, -0.09422, 0.99744, -0.24245, -1.75405, 1.10767, 1.69013, 1.84078, 1.41708, 0.81861, -1.35579, 0.78547, 0.78053, -0.65774]","[-1.0485, -1.0492, -1.04998, -1.05225, 1.05031, -1.05029, -1.04961, -1.04977]"
8,"[1, 1, 1, 1, 0, 1, 0, 1]","[1, 1, 1, 1, 0, 1, 0, 1]",,"[1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1]","[-0.05986, -0.87424, 0.8334, -0.84858, -0.42173, -1.47534, 2.10456, 1.31447, -1.5022, 0.72182, -0.55728, 0.20236, 1.2838, -0.24013, -0.14484, -2.1148]","[-1.04761, -1.05147, -1.05352, -1.04367, 1.05855, -1.04529, 1.06442, -1.04289]"
9,"[1, 1, 1, 1, 0, 1, 0, 0]","[1, 1, 1, 1, 0, 1, 0, 0]",,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0]","[-1.78601, 2.37879, -2.03553, 0.94202, 1.34662, 1.45421, -0.20366, -0.14571, 1.80437, -0.61214, 0.89957, -2.06901, -1.00059, -2.00492, 0.46496, 1.54212]","[-1.05091, -1.05588, -1.05068, -1.05305, 1.05071, -1.05083, 1.05056, 1.05088]"
