Info positions : [ 7  9 10 11 12 13 14 15]
Target Info positions : [ 7  9 10 11 12 13 14 15]
Frozen positions : [0 1 2 3 4 5 6 8]
embed dim : 64 
Batch size : 8192
Validation SNR : 3.0
Train SNR : 3.0
load training data? True
Number of heads : 1
Number of layers: 2
Positional encoding : static
Print frequency: 100
Num of steps: 12000
combinational training snr:  False
64
Training Model for 8,16 anew
Number of parameters : 100741
Did not find standard validation data
Need to save for: 100
[0/12000] At 3 dB, Loss: 2.0418108, Train BER (3 dB) : 0.4536743, Valid BER: 0.4553375, Tgt BER: 0.4553375, Noiseless BER 0.4488373, Valid BLER : 0.9960938
[3000/12000] At 3 dB, Loss: 0.3803105, Train BER (3 dB) : 0.1431274, Valid BER: 0.1262360, Tgt BER: 0.1262360, Noiseless BER 0.0000000, Valid BLER : 0.4510498
[3100/12000] At 3 dB, Loss: 0.3767242, Train BER (3 dB) : 0.1402893, Valid BER: 0.1222229, Tgt BER: 0.1222229, Noiseless BER 0.0000000, Valid BLER : 0.4455566
[3200/12000] At 3 dB, Loss: 0.3708715, Train BER (3 dB) : 0.1375732, Valid BER: 0.1167908, Tgt BER: 0.1167908, Noiseless BER 0.0000000, Valid BLER : 0.4361572
[3300/12000] At 3 dB, Loss: 0.3729181, Train BER (3 dB) : 0.1392212, Valid BER: 0.1152191, Tgt BER: 0.1152191, Noiseless BER 0.0000000, Valid BLER : 0.4191895
[3400/12000] At 3 dB, Loss: 0.3676610, Train BER (3 dB) : 0.1351013, Valid BER: 0.1137238, Tgt BER: 0.1137238, Noiseless BER 0.0000000, Valid BLER : 0.4127197
[3500/12000] At 3 dB, Loss: 0.3581134, Train BER (3 dB) : 0.1315155, Valid BER: 0.1091919, Tgt BER: 0.1091919, Noiseless BER 0.0000000, Valid BLER : 0.3905029
[3600/12000] At 3 dB, Loss: 0.3591950, Train BER (3 dB) : 0.1320496, Valid BER: 0.1110382, Tgt BER: 0.1110382, Noiseless BER 0.0000000, Valid BLER : 0.3990479
[3700/12000] At 3 dB, Loss: 0.3562089, Train BER (3 dB) : 0.1294403, Valid BER: 0.1084900, Tgt BER: 0.1084900, Noiseless BER 0.0000000, Valid BLER : 0.3843994
[3800/12000] At 3 dB, Loss: 0.3477162, Train BER (3 dB) : 0.1268921, Valid BER: 0.1073303, Tgt BER: 0.1073303, Noiseless BER 0.0000000, Valid BLER : 0.3748779
[3900/12000] At 3 dB, Loss: 0.3570684, Train BER (3 dB) : 0.1302185, Valid BER: 0.1041412, Tgt BER: 0.1041412, Noiseless BER 0.0000000, Valid BLER : 0.3706055
[4000/12000] At 3 dB, Loss: 0.3480968, Train BER (3 dB) : 0.1267242, Valid BER: 0.1013031, Tgt BER: 0.1013031, Noiseless BER 0.0000000, Valid BLER : 0.3598633
[4100/12000] At 3 dB, Loss: 0.3388336, Train BER (3 dB) : 0.1214905, Valid BER: 0.1027069, Tgt BER: 0.1027069, Noiseless BER 0.0000000, Valid BLER : 0.3603516
[4200/12000] At 3 dB, Loss: 0.3460678, Train BER (3 dB) : 0.1259918, Valid BER: 0.0982361, Tgt BER: 0.0982361, Noiseless BER 0.0000000, Valid BLER : 0.3481445
[4300/12000] At 3 dB, Loss: 0.3447511, Train BER (3 dB) : 0.1236115, Valid BER: 0.1009369, Tgt BER: 0.1009369, Noiseless BER 0.0000000, Valid BLER : 0.3526611
[4400/12000] At 3 dB, Loss: 0.3375828, Train BER (3 dB) : 0.1214600, Valid BER: 0.0990753, Tgt BER: 0.0990753, Noiseless BER 0.0000000, Valid BLER : 0.3474121
[4500/12000] At 3 dB, Loss: 0.3431792, Train BER (3 dB) : 0.1238098, Valid BER: 0.0963287, Tgt BER: 0.0963287, Noiseless BER 0.0000000, Valid BLER : 0.3343506
[4600/12000] At 3 dB, Loss: 0.3367245, Train BER (3 dB) : 0.1208191, Valid BER: 0.0967102, Tgt BER: 0.0967102, Noiseless BER 0.0000000, Valid BLER : 0.3387451
[4700/12000] At 3 dB, Loss: 0.3350879, Train BER (3 dB) : 0.1195984, Valid BER: 0.0983124, Tgt BER: 0.0983124, Noiseless BER 0.0000000, Valid BLER : 0.3436279
[4800/12000] At 3 dB, Loss: 0.3371528, Train BER (3 dB) : 0.1211090, Valid BER: 0.0950470, Tgt BER: 0.0950470, Noiseless BER 0.0000000, Valid BLER : 0.3323975
[4900/12000] At 3 dB, Loss: 0.3411930, Train BER (3 dB) : 0.1218872, Valid BER: 0.0979462, Tgt BER: 0.0979462, Noiseless BER 0.0000000, Valid BLER : 0.3363037
[5000/12000] At 3 dB, Loss: 0.3307847, Train BER (3 dB) : 0.1171265, Valid BER: 0.0962219, Tgt BER: 0.0962219, Noiseless BER 0.0000000, Valid BLER : 0.3344727
[5100/12000] At 3 dB, Loss: 0.3319367, Train BER (3 dB) : 0.1187134, Valid BER: 0.0962067, Tgt BER: 0.0962067, Noiseless BER 0.0000000, Valid BLER : 0.3305664
[5200/12000] At 3 dB, Loss: 0.3284543, Train BER (3 dB) : 0.1185760, Valid BER: 0.0945435, Tgt BER: 0.0945435, Noiseless BER 0.0000000, Valid BLER : 0.3298340
[5300/12000] At 3 dB, Loss: 0.3191541, Train BER (3 dB) : 0.1136169, Valid BER: 0.0987854, Tgt BER: 0.0987854, Noiseless BER 0.0000000, Valid BLER : 0.3295898
[5400/12000] At 3 dB, Loss: 0.3253460, Train BER (3 dB) : 0.1158447, Valid BER: 0.0959473, Tgt BER: 0.0959473, Noiseless BER 0.0000000, Valid BLER : 0.3288574
[5500/12000] At 3 dB, Loss: 0.3288499, Train BER (3 dB) : 0.1168365, Valid BER: 0.0924683, Tgt BER: 0.0924683, Noiseless BER 0.0000000, Valid BLER : 0.3162842
[5600/12000] At 3 dB, Loss: 0.3312120, Train BER (3 dB) : 0.1197357, Valid BER: 0.0941315, Tgt BER: 0.0941315, Noiseless BER 0.0000000, Valid BLER : 0.3245850
[5700/12000] At 3 dB, Loss: 0.3318986, Train BER (3 dB) : 0.1183777, Valid BER: 0.0952301, Tgt BER: 0.0952301, Noiseless BER 0.0000000, Valid BLER : 0.3225098
[5800/12000] At 3 dB, Loss: 0.3247474, Train BER (3 dB) : 0.1147614, Valid BER: 0.0937653, Tgt BER: 0.0937653, Noiseless BER 0.0000000, Valid BLER : 0.3181152
[5900/12000] At 3 dB, Loss: 0.3246433, Train BER (3 dB) : 0.1147919, Valid BER: 0.0964813, Tgt BER: 0.0964813, Noiseless BER 0.0000000, Valid BLER : 0.3254395
[6000/12000] At 3 dB, Loss: 0.3202461, Train BER (3 dB) : 0.1133118, Valid BER: 0.0907898, Tgt BER: 0.0907898, Noiseless BER 0.0000000, Valid BLER : 0.3041992
[6100/12000] At 3 dB, Loss: 0.3248152, Train BER (3 dB) : 0.1153259, Valid BER: 0.0905609, Tgt BER: 0.0905609, Noiseless BER 0.0000000, Valid BLER : 0.3100586
[6200/12000] At 3 dB, Loss: 0.3168665, Train BER (3 dB) : 0.1128693, Valid BER: 0.0915680, Tgt BER: 0.0915680, Noiseless BER 0.0000000, Valid BLER : 0.3110352
[6300/12000] At 3 dB, Loss: 0.3280654, Train BER (3 dB) : 0.1172333, Valid BER: 0.0934753, Tgt BER: 0.0934753, Noiseless BER 0.0000000, Valid BLER : 0.3159180
[6400/12000] At 3 dB, Loss: 0.3207158, Train BER (3 dB) : 0.1133118, Valid BER: 0.0912628, Tgt BER: 0.0912628, Noiseless BER 0.0000000, Valid BLER : 0.3132324
[6500/12000] At 3 dB, Loss: 0.3190044, Train BER (3 dB) : 0.1131592, Valid BER: 0.0972137, Tgt BER: 0.0972137, Noiseless BER 0.0000000, Valid BLER : 0.3195801
[6600/12000] At 3 dB, Loss: 0.3216511, Train BER (3 dB) : 0.1139679, Valid BER: 0.0924377, Tgt BER: 0.0924377, Noiseless BER 0.0000000, Valid BLER : 0.3096924
[6700/12000] At 3 dB, Loss: 0.3173354, Train BER (3 dB) : 0.1112366, Valid BER: 0.0946503, Tgt BER: 0.0946503, Noiseless BER 0.0000000, Valid BLER : 0.3109131
[6800/12000] At 3 dB, Loss: 0.3112234, Train BER (3 dB) : 0.1106567, Valid BER: 0.0924225, Tgt BER: 0.0924225, Noiseless BER 0.0000000, Valid BLER : 0.3099365
[6900/12000] At 3 dB, Loss: 0.3098580, Train BER (3 dB) : 0.1106567, Valid BER: 0.0945892, Tgt BER: 0.0945892, Noiseless BER 0.0000000, Valid BLER : 0.3135986
[7000/12000] At 3 dB, Loss: 0.3119735, Train BER (3 dB) : 0.1111908, Valid BER: 0.0938873, Tgt BER: 0.0938873, Noiseless BER 0.0000000, Valid BLER : 0.3151855
[7100/12000] At 3 dB, Loss: 0.3139310, Train BER (3 dB) : 0.1113129, Valid BER: 0.0906982, Tgt BER: 0.0906982, Noiseless BER 0.0000000, Valid BLER : 0.3081055
[7200/12000] At 3 dB, Loss: 0.3119337, Train BER (3 dB) : 0.1103973, Valid BER: 0.0915985, Tgt BER: 0.0915985, Noiseless BER 0.0000000, Valid BLER : 0.3109131
[7300/12000] At 3 dB, Loss: 0.3037513, Train BER (3 dB) : 0.1080170, Valid BER: 0.0879517, Tgt BER: 0.0879517, Noiseless BER 0.0000000, Valid BLER : 0.2995605
[7400/12000] At 3 dB, Loss: 0.3076226, Train BER (3 dB) : 0.1085815, Valid BER: 0.0923615, Tgt BER: 0.0923615, Noiseless BER 0.0000000, Valid BLER : 0.3114014
[7500/12000] At 3 dB, Loss: 0.3124092, Train BER (3 dB) : 0.1101532, Valid BER: 0.0922394, Tgt BER: 0.0922394, Noiseless BER 0.0000000, Valid BLER : 0.3044434
[7600/12000] At 3 dB, Loss: 0.3053203, Train BER (3 dB) : 0.1076660, Valid BER: 0.0919495, Tgt BER: 0.0919495, Noiseless BER 0.0000000, Valid BLER : 0.3082275
[7700/12000] At 3 dB, Loss: 0.3140838, Train BER (3 dB) : 0.1105804, Valid BER: 0.0900269, Tgt BER: 0.0900269, Noiseless BER 0.0000000, Valid BLER : 0.3061523
[7800/12000] At 3 dB, Loss: 0.3020532, Train BER (3 dB) : 0.1070862, Valid BER: 0.0938416, Tgt BER: 0.0938416, Noiseless BER 0.0000000, Valid BLER : 0.3063965
[7900/12000] At 3 dB, Loss: 0.3047937, Train BER (3 dB) : 0.1071320, Valid BER: 0.0947266, Tgt BER: 0.0947266, Noiseless BER 0.0000000, Valid BLER : 0.3093262
[8000/12000] At 3 dB, Loss: 0.3067903, Train BER (3 dB) : 0.1086884, Valid BER: 0.0934143, Tgt BER: 0.0934143, Noiseless BER 0.0000000, Valid BLER : 0.3070068
[8100/12000] At 3 dB, Loss: 0.3099762, Train BER (3 dB) : 0.1093292, Valid BER: 0.0911407, Tgt BER: 0.0911407, Noiseless BER 0.0000000, Valid BLER : 0.2983398
[8200/12000] At 3 dB, Loss: 0.3023767, Train BER (3 dB) : 0.1075134, Valid BER: 0.0921326, Tgt BER: 0.0921326, Noiseless BER 0.0000000, Valid BLER : 0.3087158
[8300/12000] At 3 dB, Loss: 0.3087840, Train BER (3 dB) : 0.1102448, Valid BER: 0.0935669, Tgt BER: 0.0935669, Noiseless BER 0.0000000, Valid BLER : 0.3095703
[8400/12000] At 3 dB, Loss: 0.3027507, Train BER (3 dB) : 0.1064148, Valid BER: 0.0886230, Tgt BER: 0.0886230, Noiseless BER 0.0000000, Valid BLER : 0.2973633
[8500/12000] At 3 dB, Loss: 0.3097368, Train BER (3 dB) : 0.1111603, Valid BER: 0.0897522, Tgt BER: 0.0897522, Noiseless BER 0.0000000, Valid BLER : 0.3007812
[8600/12000] At 3 dB, Loss: 0.3170355, Train BER (3 dB) : 0.1127014, Valid BER: 0.0888672, Tgt BER: 0.0888672, Noiseless BER 0.0000000, Valid BLER : 0.2965088
