Info positions : [0 1 2 3]
Target Info positions : [0 1 2 3]
Frozen positions : []
Code : polar 
Rate Profile : polar
Validation SNR : 5.5
Number of heads : 1
Number of layers: 6
Positional encoding : static
Layers : compelete
Print frequency: 20
Num of steps: 1000
Training Model for 4,4 anew
Number of parameters : 75725
Did not find standard validation data
Need to save for: 5000
[0/1000] At 5 dB, Loss: 1.0275506, Train BER (5 dB) : 0.4457397, Valid BER: 0.4978027, Tgt BER: 0.4978027, Noiseless BER 0.5000000, Valid BLER : 0.9361572
[620/1000] At 5 dB, Loss: 0.2350003, Train BER (5 dB) : 0.0634766, Valid BER: 0.4990845, Tgt BER: 0.4990845, Noiseless BER 0.0000000, Valid BLER : 0.9404297
[640/1000] At 5 dB, Loss: 0.2473109, Train BER (5 dB) : 0.0670471, Valid BER: 0.5016785, Tgt BER: 0.5016785, Noiseless BER 0.0000000, Valid BLER : 0.9351807
[660/1000] At 5 dB, Loss: 0.2327973, Train BER (5 dB) : 0.0628662, Valid BER: 0.5006104, Tgt BER: 0.5006104, Noiseless BER 0.0000000, Valid BLER : 0.9335938
[680/1000] At 5 dB, Loss: 0.2337613, Train BER (5 dB) : 0.0631104, Valid BER: 0.5036621, Tgt BER: 0.5036621, Noiseless BER 0.0000000, Valid BLER : 0.9410400
[700/1000] At 5 dB, Loss: 0.2372484, Train BER (5 dB) : 0.0642090, Valid BER: 0.5004578, Tgt BER: 0.5004578, Noiseless BER 0.0000000, Valid BLER : 0.9362793
[720/1000] At 5 dB, Loss: 0.2366996, Train BER (5 dB) : 0.0641785, Valid BER: 0.4988098, Tgt BER: 0.4988098, Noiseless BER 0.0000000, Valid BLER : 0.9315186
[740/1000] At 5 dB, Loss: 0.2406829, Train BER (5 dB) : 0.0651855, Valid BER: 0.4981384, Tgt BER: 0.4981384, Noiseless BER 0.0000000, Valid BLER : 0.9331055
[760/1000] At 5 dB, Loss: 0.2344441, Train BER (5 dB) : 0.0635071, Valid BER: 0.4963989, Tgt BER: 0.4963989, Noiseless BER 0.0000000, Valid BLER : 0.9343262
[780/1000] At 5 dB, Loss: 0.2387883, Train BER (5 dB) : 0.0645752, Valid BER: 0.5058289, Tgt BER: 0.5058289, Noiseless BER 0.0000000, Valid BLER : 0.9404297
[800/1000] At 5 dB, Loss: 0.2413051, Train BER (5 dB) : 0.0653076, Valid BER: 0.4982605, Tgt BER: 0.4982605, Noiseless BER 0.0000000, Valid BLER : 0.9383545
