Info positions : [0 1 2 3 4 5 6 7]
Target Info positions : [0 1 2 3 4 5 6 7]
Frozen positions : []
Code : polar 
Rate Profile : polar
Validation SNR : 5.5
Number of heads : 1
Number of layers: 6
Positional encoding : static
Layers : compelete
Print frequency: 20
Num of steps: 3000
Training Model for 8,8 anew
Number of parameters : 75853
Did not find standard validation data
Need to save for: 5000
[0/3000] At 5 dB, Loss: 1.1313910, Train BER (5 dB) : 0.4577484, Valid BER: 0.4980011, Tgt BER: 0.4980011, Noiseless BER 0.6250000, Valid BLER : 0.9954834
[600/3000] At 5 dB, Loss: 0.3803026, Train BER (5 dB) : 0.1322632, Valid BER: 0.4993591, Tgt BER: 0.4993591, Noiseless BER 0.0000000, Valid BLER : 0.9964600
[620/3000] At 5 dB, Loss: 0.3922869, Train BER (5 dB) : 0.1352997, Valid BER: 0.4976807, Tgt BER: 0.4976807, Noiseless BER 0.0000000, Valid BLER : 0.9956055
[640/3000] At 5 dB, Loss: 0.3894330, Train BER (5 dB) : 0.1359406, Valid BER: 0.5003204, Tgt BER: 0.5003204, Noiseless BER 0.1250000, Valid BLER : 0.9962158
[660/3000] At 5 dB, Loss: 0.3834991, Train BER (5 dB) : 0.1336823, Valid BER: 0.4994354, Tgt BER: 0.4994354, Noiseless BER 0.1250000, Valid BLER : 0.9963379
[680/3000] At 5 dB, Loss: 0.3868067, Train BER (5 dB) : 0.1353149, Valid BER: 0.5012665, Tgt BER: 0.5012665, Noiseless BER 0.1250000, Valid BLER : 0.9969482
[700/3000] At 5 dB, Loss: 0.3725264, Train BER (5 dB) : 0.1292572, Valid BER: 0.5002289, Tgt BER: 0.5002289, Noiseless BER 0.1250000, Valid BLER : 0.9959717
[720/3000] At 5 dB, Loss: 0.3842106, Train BER (5 dB) : 0.1338806, Valid BER: 0.5039368, Tgt BER: 0.5039368, Noiseless BER 0.0000000, Valid BLER : 0.9951172
[740/3000] At 5 dB, Loss: 0.3737742, Train BER (5 dB) : 0.1299591, Valid BER: 0.5009460, Tgt BER: 0.5009460, Noiseless BER 0.1250000, Valid BLER : 0.9964600
[760/3000] At 5 dB, Loss: 0.3809260, Train BER (5 dB) : 0.1309662, Valid BER: 0.4982452, Tgt BER: 0.4982452, Noiseless BER 0.1250000, Valid BLER : 0.9954834
[780/3000] At 5 dB, Loss: 0.3727485, Train BER (5 dB) : 0.1295471, Valid BER: 0.4992676, Tgt BER: 0.4992676, Noiseless BER 0.0000000, Valid BLER : 0.9970703
[800/3000] At 5 dB, Loss: 0.3883074, Train BER (5 dB) : 0.1344147, Valid BER: 0.5021362, Tgt BER: 0.5021362, Noiseless BER 0.1250000, Valid BLER : 0.9962158
[820/3000] At 5 dB, Loss: 0.3875611, Train BER (5 dB) : 0.1333923, Valid BER: 0.4999847, Tgt BER: 0.4999847, Noiseless BER 0.1250000, Valid BLER : 0.9964600
[840/3000] At 5 dB, Loss: 0.3676950, Train BER (5 dB) : 0.1267548, Valid BER: 0.4998932, Tgt BER: 0.4998932, Noiseless BER 0.1250000, Valid BLER : 0.9969482
[860/3000] At 5 dB, Loss: 0.3636020, Train BER (5 dB) : 0.1245117, Valid BER: 0.5009460, Tgt BER: 0.5009460, Noiseless BER 0.0000000, Valid BLER : 0.9968262
[880/3000] At 5 dB, Loss: 0.3686291, Train BER (5 dB) : 0.1259766, Valid BER: 0.5046539, Tgt BER: 0.5046539, Noiseless BER 0.0000000, Valid BLER : 0.9973145
[900/3000] At 5 dB, Loss: 0.3762346, Train BER (5 dB) : 0.1276703, Valid BER: 0.5008087, Tgt BER: 0.5008087, Noiseless BER 0.1250000, Valid BLER : 0.9965820
[920/3000] At 5 dB, Loss: 0.3686275, Train BER (5 dB) : 0.1255188, Valid BER: 0.4997406, Tgt BER: 0.4997406, Noiseless BER 0.0000000, Valid BLER : 0.9949951
[940/3000] At 5 dB, Loss: 0.3803171, Train BER (5 dB) : 0.1292419, Valid BER: 0.5011292, Tgt BER: 0.5011292, Noiseless BER 0.1250000, Valid BLER : 0.9967041
[960/3000] At 5 dB, Loss: 0.3719239, Train BER (5 dB) : 0.1262970, Valid BER: 0.4988251, Tgt BER: 0.4988251, Noiseless BER 0.0000000, Valid BLER : 0.9949951
[980/3000] At 5 dB, Loss: 0.3739376, Train BER (5 dB) : 0.1261444, Valid BER: 0.5008545, Tgt BER: 0.5008545, Noiseless BER 0.0000000, Valid BLER : 0.9960938
[1000/3000] At 5 dB, Loss: 0.3684886, Train BER (5 dB) : 0.1237488, Valid BER: 0.4973602, Tgt BER: 0.4973602, Noiseless BER 0.0000000, Valid BLER : 0.9949951
[1020/3000] At 5 dB, Loss: 0.3558574, Train BER (5 dB) : 0.1194611, Valid BER: 0.5010223, Tgt BER: 0.5010223, Noiseless BER 0.1250000, Valid BLER : 0.9952393
[1040/3000] At 5 dB, Loss: 0.3664608, Train BER (5 dB) : 0.1214905, Valid BER: 0.4994812, Tgt BER: 0.4994812, Noiseless BER 0.0000000, Valid BLER : 0.9952393
[1060/3000] At 5 dB, Loss: 0.3621982, Train BER (5 dB) : 0.1183472, Valid BER: 0.4985809, Tgt BER: 0.4985809, Noiseless BER 0.0000000, Valid BLER : 0.9970703
[1080/3000] At 5 dB, Loss: 0.3451499, Train BER (5 dB) : 0.1112976, Valid BER: 0.4981079, Tgt BER: 0.4981079, Noiseless BER 0.0000000, Valid BLER : 0.9959717
[1100/3000] At 5 dB, Loss: 0.3654006, Train BER (5 dB) : 0.1159058, Valid BER: 0.5001526, Tgt BER: 0.5001526, Noiseless BER 0.0000000, Valid BLER : 0.9952393
[1120/3000] At 5 dB, Loss: 0.3482420, Train BER (5 dB) : 0.1046600, Valid BER: 0.5006256, Tgt BER: 0.5006256, Noiseless BER 0.0000000, Valid BLER : 0.9945068
[1140/3000] At 5 dB, Loss: 0.3466699, Train BER (5 dB) : 0.1022644, Valid BER: 0.5022125, Tgt BER: 0.5022125, Noiseless BER 0.0000000, Valid BLER : 0.9967041
[1160/3000] At 5 dB, Loss: 0.3266076, Train BER (5 dB) : 0.0946045, Valid BER: 0.5021973, Tgt BER: 0.5021973, Noiseless BER 0.0000000, Valid BLER : 0.9958496
[1180/3000] At 5 dB, Loss: 0.3338332, Train BER (5 dB) : 0.0965424, Valid BER: 0.5011749, Tgt BER: 0.5011749, Noiseless BER 0.0000000, Valid BLER : 0.9960938
[1200/3000] At 5 dB, Loss: 0.3355724, Train BER (5 dB) : 0.0968933, Valid BER: 0.5004425, Tgt BER: 0.5004425, Noiseless BER 0.0000000, Valid BLER : 0.9958496
[1220/3000] At 5 dB, Loss: 0.3278406, Train BER (5 dB) : 0.0940094, Valid BER: 0.5012360, Tgt BER: 0.5012360, Noiseless BER 0.0000000, Valid BLER : 0.9967041
[1240/3000] At 5 dB, Loss: 0.3313093, Train BER (5 dB) : 0.0952911, Valid BER: 0.4963379, Tgt BER: 0.4963379, Noiseless BER 0.0000000, Valid BLER : 0.9949951
[1260/3000] At 5 dB, Loss: 0.3257168, Train BER (5 dB) : 0.0930328, Valid BER: 0.5037079, Tgt BER: 0.5037079, Noiseless BER 0.0000000, Valid BLER : 0.9964600
[1280/3000] At 5 dB, Loss: 0.3383424, Train BER (5 dB) : 0.0970917, Valid BER: 0.5019226, Tgt BER: 0.5019226, Noiseless BER 0.0000000, Valid BLER : 0.9973145
[1300/3000] At 5 dB, Loss: 0.3377021, Train BER (5 dB) : 0.0968628, Valid BER: 0.5017242, Tgt BER: 0.5017242, Noiseless BER 0.0000000, Valid BLER : 0.9960938
[1320/3000] At 5 dB, Loss: 0.3268359, Train BER (5 dB) : 0.0933533, Valid BER: 0.4950256, Tgt BER: 0.4950256, Noiseless BER 0.0000000, Valid BLER : 0.9959717
[1340/3000] At 5 dB, Loss: 0.3300161, Train BER (5 dB) : 0.0941925, Valid BER: 0.5010376, Tgt BER: 0.5010376, Noiseless BER 0.0000000, Valid BLER : 0.9974365
[1360/3000] At 5 dB, Loss: 0.3294609, Train BER (5 dB) : 0.0940857, Valid BER: 0.4995270, Tgt BER: 0.4995270, Noiseless BER 0.0000000, Valid BLER : 0.9962158
[1380/3000] At 5 dB, Loss: 0.3266856, Train BER (5 dB) : 0.0930328, Valid BER: 0.5004120, Tgt BER: 0.5004120, Noiseless BER 0.0000000, Valid BLER : 0.9953613
[1400/3000] At 5 dB, Loss: 0.3349235, Train BER (5 dB) : 0.0951843, Valid BER: 0.4975586, Tgt BER: 0.4975586, Noiseless BER 0.0000000, Valid BLER : 0.9952393
[1420/3000] At 5 dB, Loss: 0.3293062, Train BER (5 dB) : 0.0938110, Valid BER: 0.4986420, Tgt BER: 0.4986420, Noiseless BER 0.0000000, Valid BLER : 0.9952393
[1440/3000] At 5 dB, Loss: 0.3281232, Train BER (5 dB) : 0.0935211, Valid BER: 0.5036926, Tgt BER: 0.5036926, Noiseless BER 0.0000000, Valid BLER : 0.9960938
[1460/3000] At 5 dB, Loss: 0.3293162, Train BER (5 dB) : 0.0936737, Valid BER: 0.4996796, Tgt BER: 0.4996796, Noiseless BER 0.0000000, Valid BLER : 0.9960938
