Info positions : [ 7  9 10 11 12 13 14 15]
Target Info positions : [ 7  9 10 11 12 13 14 15]
Frozen positions : [0 1 2 3 4 5 6 8]
Code : polar 
Rate Profile : polar
Validation SNR : 1.2
Number of heads : 8
Number of layers: 6
Positional encoding : static
Layers : compelete
Print frequency: 100
Num of steps: 20000
Training Model for 8,16 anew
Number of parameters : 299661
Did not find standard validation data
Need to save for: 5000
[0/20000] At 1 dB, Loss: 1.6820605, Train BER (1 dB) : 0.5298920, Valid BER: 0.4490204, Tgt BER: 0.4490204, Noiseless BER 0.4340363, Valid BLER : 0.9543457
[3000/20000] At 1 dB, Loss: 0.5071008, Train BER (1 dB) : 0.2200012, Valid BER: 0.2174683, Tgt BER: 0.2174683, Noiseless BER 0.0000000, Valid BLER : 0.6746826
[3100/20000] At 1 dB, Loss: 0.4874313, Train BER (1 dB) : 0.2075653, Valid BER: 0.2068481, Tgt BER: 0.2068481, Noiseless BER 0.0000000, Valid BLER : 0.6496582
[3200/20000] At 1 dB, Loss: 0.4683878, Train BER (1 dB) : 0.2027740, Valid BER: 0.2042999, Tgt BER: 0.2042999, Noiseless BER 0.0000000, Valid BLER : 0.6314697
[3300/20000] At 1 dB, Loss: 0.4941840, Train BER (1 dB) : 0.2127991, Valid BER: 0.2032776, Tgt BER: 0.2032776, Noiseless BER 0.0000000, Valid BLER : 0.6303711
[3400/20000] At 1 dB, Loss: 0.4692397, Train BER (1 dB) : 0.2050171, Valid BER: 0.2078247, Tgt BER: 0.2078247, Noiseless BER 0.0000000, Valid BLER : 0.6322021
[3500/20000] At 1 dB, Loss: 0.4686656, Train BER (1 dB) : 0.2051392, Valid BER: 0.2089233, Tgt BER: 0.2089233, Noiseless BER 0.0000000, Valid BLER : 0.6433105
[3600/20000] At 1 dB, Loss: 0.4669327, Train BER (1 dB) : 0.2037811, Valid BER: 0.2000885, Tgt BER: 0.2000885, Noiseless BER 0.0000000, Valid BLER : 0.6292725
[3700/20000] At 1 dB, Loss: 0.4710772, Train BER (1 dB) : 0.2053986, Valid BER: 0.2017059, Tgt BER: 0.2017059, Noiseless BER 0.0000000, Valid BLER : 0.6207275
[3800/20000] At 1 dB, Loss: 0.4714821, Train BER (1 dB) : 0.2078400, Valid BER: 0.2037659, Tgt BER: 0.2037659, Noiseless BER 0.0000000, Valid BLER : 0.6411133
[3900/20000] At 1 dB, Loss: 0.4740476, Train BER (1 dB) : 0.2071075, Valid BER: 0.2061920, Tgt BER: 0.2061920, Noiseless BER 0.0000000, Valid BLER : 0.6479492
[4000/20000] At 1 dB, Loss: 0.4730726, Train BER (1 dB) : 0.2073059, Valid BER: 0.2077179, Tgt BER: 0.2077179, Noiseless BER 0.0000000, Valid BLER : 0.6302490
[4100/20000] At 1 dB, Loss: 0.4721641, Train BER (1 dB) : 0.2056274, Valid BER: 0.2092133, Tgt BER: 0.2092133, Noiseless BER 0.0000000, Valid BLER : 0.6453857
[4200/20000] At 1 dB, Loss: 0.4776284, Train BER (1 dB) : 0.2078552, Valid BER: 0.2034302, Tgt BER: 0.2034302, Noiseless BER 0.0000000, Valid BLER : 0.6309814
[4300/20000] At 1 dB, Loss: 0.4696985, Train BER (1 dB) : 0.2064667, Valid BER: 0.2044220, Tgt BER: 0.2044220, Noiseless BER 0.0000000, Valid BLER : 0.6352539
[4400/20000] At 1 dB, Loss: 0.4643719, Train BER (1 dB) : 0.2030182, Valid BER: 0.2095642, Tgt BER: 0.2095642, Noiseless BER 0.0000000, Valid BLER : 0.6339111
[4500/20000] At 1 dB, Loss: 0.4613144, Train BER (1 dB) : 0.2052612, Valid BER: 0.2039642, Tgt BER: 0.2039642, Noiseless BER 0.0000000, Valid BLER : 0.6335449
[4600/20000] At 1 dB, Loss: 0.4680560, Train BER (1 dB) : 0.2026825, Valid BER: 0.2050323, Tgt BER: 0.2050323, Noiseless BER 0.0000000, Valid BLER : 0.6373291
