Info positions : [0 1 2 3 4 5 6 7]
Target Info positions : [0 1 2 3 4 5 6 7]
Frozen positions : []
embed dim : 64 
Batch size : 8192
Validation SNR : 3.0
Train SNR : 3.0
load training data? True
Number of heads : 1
Number of layers: 3
Positional encoding : static
Print frequency: 100
Num of steps: 200000
combinational training snr:  False
64
Training Model for 8,8 anew
Number of parameters : 149959
Did not find standard validation data
Need to save for: 1000
[0/200000] At 3 dB, Loss: 1.1135237, Train BER (3 dB) : 0.4675903, Valid BER: 0.4354706, Tgt BER: 0.4354706, Noiseless BER 0.4227905, Valid BLER : 0.9642334
Time for one step is 0.0017 minutes
[100/200000] At 3 dB, Loss: 0.7744061, Train BER (3 dB) : 0.3149414, Valid BER: 0.3058777, Tgt BER: 0.3058777, Noiseless BER 0.2423553, Valid BLER : 0.9475098
[200/200000] At 3 dB, Loss: 0.7124138, Train BER (3 dB) : 0.2765656, Valid BER: 0.2492523, Tgt BER: 0.2492523, Noiseless BER 0.1257019, Valid BLER : 0.8338623
[300/200000] At 3 dB, Loss: 0.6758072, Train BER (3 dB) : 0.2495422, Valid BER: 0.2318420, Tgt BER: 0.2318420, Noiseless BER 0.0873108, Valid BLER : 0.7589111
[400/200000] At 3 dB, Loss: 0.6549275, Train BER (3 dB) : 0.2339935, Valid BER: 0.2176056, Tgt BER: 0.2176056, Noiseless BER 0.0640869, Valid BLER : 0.7108154
[500/200000] At 3 dB, Loss: 0.6484515, Train BER (3 dB) : 0.2281342, Valid BER: 0.2123871, Tgt BER: 0.2123871, Noiseless BER 0.0584564, Valid BLER : 0.6904297
[600/200000] At 3 dB, Loss: 0.6424253, Train BER (3 dB) : 0.2241974, Valid BER: 0.2135620, Tgt BER: 0.2135620, Noiseless BER 0.0537109, Valid BLER : 0.6779785
[700/200000] At 3 dB, Loss: 0.6515714, Train BER (3 dB) : 0.2289734, Valid BER: 0.2136230, Tgt BER: 0.2136230, Noiseless BER 0.0519409, Valid BLER : 0.6772461
[800/200000] At 3 dB, Loss: 0.6386234, Train BER (3 dB) : 0.2230225, Valid BER: 0.2139893, Tgt BER: 0.2139893, Noiseless BER 0.0486298, Valid BLER : 0.6622314
[900/200000] At 3 dB, Loss: 0.6337162, Train BER (3 dB) : 0.2196198, Valid BER: 0.2062531, Tgt BER: 0.2062531, Noiseless BER 0.0490265, Valid BLER : 0.6547852
[1000/200000] At 3 dB, Loss: 0.6347803, Train BER (3 dB) : 0.2197876, Valid BER: 0.2074280, Tgt BER: 0.2074280, Noiseless BER 0.0481567, Valid BLER : 0.6552734
[1100/200000] At 3 dB, Loss: 0.6268530, Train BER (3 dB) : 0.2164154, Valid BER: 0.2088623, Tgt BER: 0.2088623, Noiseless BER 0.0460815, Valid BLER : 0.6494141
[1200/200000] At 3 dB, Loss: 0.6272277, Train BER (3 dB) : 0.2156677, Valid BER: 0.2077484, Tgt BER: 0.2077484, Noiseless BER 0.0438538, Valid BLER : 0.6375732
[1300/200000] At 3 dB, Loss: 0.6227576, Train BER (3 dB) : 0.2144318, Valid BER: 0.2147369, Tgt BER: 0.2147369, Noiseless BER 0.0441437, Valid BLER : 0.6463623
[1400/200000] At 3 dB, Loss: 0.6272655, Train BER (3 dB) : 0.2142639, Valid BER: 0.2106171, Tgt BER: 0.2106171, Noiseless BER 0.0445557, Valid BLER : 0.6436768
[1500/200000] At 3 dB, Loss: 0.6206876, Train BER (3 dB) : 0.2124023, Valid BER: 0.2069092, Tgt BER: 0.2069092, Noiseless BER 0.0406036, Valid BLER : 0.6329346
[1600/200000] At 3 dB, Loss: 0.6244996, Train BER (3 dB) : 0.2133942, Valid BER: 0.2059174, Tgt BER: 0.2059174, Noiseless BER 0.0392303, Valid BLER : 0.6235352
[1700/200000] At 3 dB, Loss: 0.6265463, Train BER (3 dB) : 0.2146301, Valid BER: 0.2130280, Tgt BER: 0.2130280, Noiseless BER 0.0362396, Valid BLER : 0.6182861
[1800/200000] At 3 dB, Loss: 0.6244741, Train BER (3 dB) : 0.2125549, Valid BER: 0.2075500, Tgt BER: 0.2075500, Noiseless BER 0.0334625, Valid BLER : 0.6019287
[1900/200000] At 3 dB, Loss: 0.6235921, Train BER (3 dB) : 0.2116394, Valid BER: 0.2073975, Tgt BER: 0.2073975, Noiseless BER 0.0288239, Valid BLER : 0.5876465
[2000/200000] At 3 dB, Loss: 0.6153432, Train BER (3 dB) : 0.2084503, Valid BER: 0.2076721, Tgt BER: 0.2076721, Noiseless BER 0.0262299, Valid BLER : 0.5820312
[2100/200000] At 3 dB, Loss: 0.6193528, Train BER (3 dB) : 0.2092590, Valid BER: 0.1982422, Tgt BER: 0.1982422, Noiseless BER 0.0277252, Valid BLER : 0.5764160
[2200/200000] At 3 dB, Loss: 0.6180926, Train BER (3 dB) : 0.2091675, Valid BER: 0.1977997, Tgt BER: 0.1977997, Noiseless BER 0.0214844, Valid BLER : 0.5500488
[2300/200000] At 3 dB, Loss: 0.6139182, Train BER (3 dB) : 0.2073822, Valid BER: 0.2012024, Tgt BER: 0.2012024, Noiseless BER 0.0224152, Valid BLER : 0.5567627
[2400/200000] At 3 dB, Loss: 0.6299238, Train BER (3 dB) : 0.2124176, Valid BER: 0.2052002, Tgt BER: 0.2052002, Noiseless BER 0.0162354, Valid BLER : 0.5318604
[2500/200000] At 3 dB, Loss: 0.6055542, Train BER (3 dB) : 0.2036896, Valid BER: 0.2013092, Tgt BER: 0.2013092, Noiseless BER 0.0143280, Valid BLER : 0.5291748
[2600/200000] At 3 dB, Loss: 0.6095712, Train BER (3 dB) : 0.2045746, Valid BER: 0.2056580, Tgt BER: 0.2056580, Noiseless BER 0.0115051, Valid BLER : 0.5273438
[2700/200000] At 3 dB, Loss: 0.6130227, Train BER (3 dB) : 0.2054596, Valid BER: 0.1995239, Tgt BER: 0.1995239, Noiseless BER 0.0129089, Valid BLER : 0.5145264
[2800/200000] At 3 dB, Loss: 0.6143870, Train BER (3 dB) : 0.2061768, Valid BER: 0.2010498, Tgt BER: 0.2010498, Noiseless BER 0.0061646, Valid BLER : 0.5030518
[2900/200000] At 3 dB, Loss: 0.6111385, Train BER (3 dB) : 0.2042999, Valid BER: 0.2042694, Tgt BER: 0.2042694, Noiseless BER 0.0060120, Valid BLER : 0.5026855
[3000/200000] At 3 dB, Loss: 0.6172904, Train BER (3 dB) : 0.2073212, Valid BER: 0.1973877, Tgt BER: 0.1973877, Noiseless BER 0.0037537, Valid BLER : 0.4876709
